age,job,marital,education,balance,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
58,management,married,tertiary,2143,unknown,5,may,261,1,-1,0,unknown,no
44,technician,single,secondary,29,unknown,5,may,151,1,-1,0,unknown,no
33,entrepreneur,married,secondary,2,unknown,5,may,76,1,-1,0,unknown,no
47,blue-collar,married,unknown,1506,unknown,5,may,92,1,-1,0,unknown,no
33,unknown,single,unknown,1,unknown,5,may,198,1,-1,0,unknown,no
35,management,married,tertiary,231,unknown,5,may,139,1,-1,0,unknown,no
28,management,single,tertiary,447,unknown,5,may,217,1,-1,0,unknown,no
42,entrepreneur,divorced,tertiary,2,unknown,5,may,380,1,-1,0,unknown,no
58,retired,married,primary,121,unknown,5,may,50,1,-1,0,unknown,no
43,technician,single,secondary,593,unknown,5,may,55,1,-1,0,unknown,no
41,admin.,divorced,secondary,270,unknown,5,may,222,1,-1,0,unknown,no
29,admin.,single,secondary,390,unknown,5,may,137,1,-1,0,unknown,no
53,technician,married,secondary,6,unknown,5,may,517,1,-1,0,unknown,no
58,technician,married,unknown,71,unknown,5,may,71,1,-1,0,unknown,no
57,services,married,secondary,162,unknown,5,may,174,1,-1,0,unknown,no
51,retired,married,primary,229,unknown,5,may,353,1,-1,0,unknown,no
45,admin.,single,unknown,13,unknown,5,may,98,1,-1,0,unknown,no
57,blue-collar,married,primary,52,unknown,5,may,38,1,-1,0,unknown,no
60,retired,married,primary,60,unknown,5,may,219,1,-1,0,unknown,no
33,services,married,secondary,0,unknown,5,may,54,1,-1,0,unknown,no
28,blue-collar,married,secondary,723,unknown,5,may,262,1,-1,0,unknown,no
56,management,married,tertiary,779,unknown,5,may,164,1,-1,0,unknown,no
32,blue-collar,single,primary,23,unknown,5,may,160,1,-1,0,unknown,no
25,services,married,secondary,50,unknown,5,may,342,1,-1,0,unknown,no
40,retired,married,primary,0,unknown,5,may,181,1,-1,0,unknown,no
44,admin.,married,secondary,-372,unknown,5,may,172,1,-1,0,unknown,no
39,management,single,tertiary,255,unknown,5,may,296,1,-1,0,unknown,no
52,entrepreneur,married,secondary,113,unknown,5,may,127,1,-1,0,unknown,no
46,management,single,secondary,-246,unknown,5,may,255,2,-1,0,unknown,no
36,technician,single,secondary,265,unknown,5,may,348,1,-1,0,unknown,no
57,technician,married,secondary,839,unknown,5,may,225,1,-1,0,unknown,no
49,management,married,tertiary,378,unknown,5,may,230,1,-1,0,unknown,no
60,admin.,married,secondary,39,unknown,5,may,208,1,-1,0,unknown,no
59,blue-collar,married,secondary,0,unknown,5,may,226,1,-1,0,unknown,no
51,management,married,tertiary,10635,unknown,5,may,336,1,-1,0,unknown,no
57,technician,divorced,secondary,63,unknown,5,may,242,1,-1,0,unknown,no
25,blue-collar,married,secondary,-7,unknown,5,may,365,1,-1,0,unknown,no
53,technician,married,secondary,-3,unknown,5,may,1666,1,-1,0,unknown,no
36,admin.,divorced,secondary,506,unknown,5,may,577,1,-1,0,unknown,no
37,admin.,single,secondary,0,unknown,5,may,137,1,-1,0,unknown,no
44,services,divorced,secondary,2586,unknown,5,may,160,1,-1,0,unknown,no
50,management,married,secondary,49,unknown,5,may,180,2,-1,0,unknown,no
60,blue-collar,married,unknown,104,unknown,5,may,22,1,-1,0,unknown,no
54,retired,married,secondary,529,unknown,5,may,1492,1,-1,0,unknown,no
58,retired,married,unknown,96,unknown,5,may,616,1,-1,0,unknown,no
36,admin.,single,primary,-171,unknown,5,may,242,1,-1,0,unknown,no
58,self-employed,married,tertiary,-364,unknown,5,may,355,1,-1,0,unknown,no
44,technician,married,secondary,0,unknown,5,may,225,2,-1,0,unknown,no
55,technician,divorced,secondary,0,unknown,5,may,160,1,-1,0,unknown,no
29,management,single,tertiary,0,unknown,5,may,363,1,-1,0,unknown,no
54,blue-collar,married,secondary,1291,unknown,5,may,266,1,-1,0,unknown,no
48,management,divorced,tertiary,-244,unknown,5,may,253,1,-1,0,unknown,no
32,management,married,tertiary,0,unknown,5,may,179,1,-1,0,unknown,no
42,admin.,single,secondary,-76,unknown,5,may,787,1,-1,0,unknown,no
24,technician,single,secondary,-103,unknown,5,may,145,1,-1,0,unknown,no
38,entrepreneur,single,tertiary,243,unknown,5,may,174,1,-1,0,unknown,no
38,management,single,tertiary,424,unknown,5,may,104,1,-1,0,unknown,no
47,blue-collar,married,unknown,306,unknown,5,may,13,1,-1,0,unknown,no
40,blue-collar,single,unknown,24,unknown,5,may,185,1,-1,0,unknown,no
46,services,married,primary,179,unknown,5,may,1778,1,-1,0,unknown,no
32,admin.,married,tertiary,0,unknown,5,may,138,1,-1,0,unknown,no
